Vehicle,Season,Weekday,Hour of Day,Trip Elapsed Minutes,Outside Temp,Inside Temp,Left Temp Change,Wind Level Change,Power Mode,Heading,Fuel,Avg. Speed,Avg. RPM,Wind Level
61134,Summer,True,11.9,2.83,29,37,2.0,0.0,2.0,311.0,41.552,11.93,1056.83,3.0
61134,Summer,True,11.93,5.2,29,36,0.0,-2.0,2.0,12.0,41.16,12.59,1090.44,1.0
61134,Summer,True,16.95,0.68,29,49,0.0,5.0,2.0,359.0,39.2,14.65,1309.5,6.0
61134,Summer,True,17.02,4.47,29,46,1.0,-2.0,2.0,315.0,38.808,7.46,1057.13,4.0
61134,Summer,True,19.65,17.83,30,34,0.0,-1.0,2.0,189.0,34.888,0.0,947.8,3.0
61134,Summer,False,20.85,3.35,42,33,0.0,0.0,2.0,77.0,29.4,0.0,874.71,3.0
61134,Summer,False,21.02,13.65,32,33,0.0,0.0,2.0,91.0,29.4,13.81,1184.05,3.0
61134,Summer,False,11.45,10.2,30,36,0.0,-1.0,2.0,177.0,26.264,34.93,1907.1,2.0
61134,Summer,False,12.28,4.0,30,35,0.0,1.0,2.0,182.0,25.088,44.6,1431.4,3.0
61134,Summer,False,13.45,2.12,30,36,0.0,0.0,2.0,354.0,20.776,0.0,941.2,3.0
61134,Summer,False,14.58,69.92,30,31,2.0,0.0,2.0,190.0,19.992,0.0,922.66,3.0
61134,Summer,False,18.98,10.28,29,31,0.0,0.0,2.0,222.0,4.704,20.17,1286.39,3.0
61134,Summer,False,21.15,21.67,26,30,0.0,0.0,2.0,306.0,66.64,15.74,1241.25,3.0
61134,Summer,True,7.55,5.88,26,27,-1.0,-1.0,2.0,187.0,53.704,34.99,1342.09,2.0
61134,Summer,True,12.43,2.28,29,37,-2.0,0.0,2.0,270.0,33.32,16.16,1287.4,2.0
61134,Summer,True,13.43,13.48,29,37,-1.0,2.0,2.0,9.0,27.44,16.05,1398.83,4.0
61134,Summer,True,13.48,16.73,28,36,0.0,0.0,2.0,180.0,27.048,29.36,1598.0,4.0
61134,Summer,True,13.57,21.47,28,36,0.0,0.0,2.0,177.0,26.656,32.76,1556.38,4.0
61134,Summer,True,19.58,0.7,31,36,0.0,0.0,2.0,29.0,23.912,0.4,1195.0,2.0
61134,Summer,True,21.17,15.57,26,31,0.0,-1.0,2.0,277.0,87.808,15.34,1223.0,3.0
61134,Summer,True,22.63,18.77,25,30,0.0,0.0,2.0,178.0,83.888,51.8,1479.17,3.0
61134,Summer,False,9.87,5.5,25,31,4.0,0.0,2.0,10.0,77.224,27.63,1446.7,3.0
61134,Summer,False,11.32,8.2,25,33,-1.0,0.0,2.0,356.0,75.656,20.83,1406.44,3.0
61134,Summer,False,13.78,2.28,34,46,0.0,0.0,2.0,179.0,75.264,15.64,1323.07,3.0
61134,Summer,False,14.42,10.37,32,35,0.0,0.0,2.0,1.0,73.696,19.55,1211.75,3.0
61134,Summer,False,15.48,6.7,31,31,0.0,0.0,2.0,359.0,70.952,14.61,1226.25,3.0
61134,Summer,False,15.8,25.02,31,32,0.0,0.0,2.0,180.0,69.776,43.45,1706.67,3.0
61134,Summer,False,16.52,18.85,29,31,-1.0,0.0,2.0,0.0,65.856,29.12,1278.19,3.0
61134,Summer,False,18.27,2.98,29,30,0.0,-2.0,2.0,179.0,60.76,30.8,1382.0,1.0
61134,Summer,False,18.37,8.32,29,30,0.0,0.0,2.0,177.0,60.76,18.74,1258.21,1.0
61134,Summer,True,11.8,10.78,37,36,0.0,0.0,2.0,354.0,54.096,0.0,944.43,1.0
61134,Summer,True,11.87,15.23,37,34,0.0,3.0,2.0,354.0,54.096,0.0,942.57,4.0
61134,Summer,True,12.28,40.1,31,33,0.0,0.0,2.0,264.0,53.312,32.85,1399.76,4.0
61134,Summer,True,12.42,48.1,29,33,0.0,0.0,2.0,95.0,51.352,55.11,2052.75,4.0
61134,Summer,True,17.68,2.67,39,33,2.0,-1.0,2.0,14.0,50.96,0.0,927.33,3.0
